               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.020533,            0.008587,           0.0058246,             0.99464,             0.99182,             0.99446,             0.85985,           0.0097985,           0.0037965,          0.00054725,            0.005512,            0.005512,            0.005512
                 138,             0.01922,           0.0084047,           0.0059396,             0.99588,             0.99665,             0.99434,               0.866,           0.0087091,           0.0036569,          0.00037674,            0.005479,            0.005479,            0.005479
                 139,            0.020219,           0.0085243,           0.0052227,             0.99758,             0.99859,              0.9946,             0.86034,           0.0089539,           0.0038525,          0.00038144,            0.005446,            0.005446,            0.005446
                 140,            0.018965,           0.0084286,           0.0059937,             0.99532,             0.99405,             0.99441,             0.86565,           0.0088429,           0.0038729,          0.00041415,            0.005413,            0.005413,            0.005413
                 141,            0.019324,           0.0084079,           0.0063258,             0.97184,             0.97887,             0.98991,             0.84439,           0.0098052,           0.0041186,           0.0019513,             0.00538,             0.00538,             0.00538
                 142,            0.018756,           0.0085775,           0.0064875,              0.9953,             0.99717,             0.99438,              0.8567,           0.0096795,           0.0039966,          0.00051515,            0.005347,            0.005347,            0.005347
                 143,            0.019878,           0.0084527,           0.0065079,             0.99702,             0.99844,             0.99455,             0.86967,           0.0091685,           0.0037478,          0.00035692,            0.005314,            0.005314,            0.005314
                 144,            0.019423,           0.0090078,           0.0060347,             0.99648,             0.99775,             0.99451,             0.86165,           0.0096656,           0.0038627,          0.00037045,            0.005281,            0.005281,            0.005281
                 145,            0.019275,           0.0084822,           0.0058115,             0.99583,             0.99813,             0.99468,             0.87354,           0.0096317,           0.0037386,          0.00032196,            0.005248,            0.005248,            0.005248
                 146,            0.019123,           0.0083514,           0.0052299,             0.99697,             0.99831,             0.99446,             0.87164,           0.0095506,           0.0038351,          0.00031589,            0.005215,            0.005215,            0.005215
                 147,            0.018873,            0.008335,           0.0062093,             0.99673,             0.99859,             0.99459,             0.86973,           0.0090143,           0.0037328,          0.00033029,            0.005182,            0.005182,            0.005182
                 148,            0.018476,            0.008413,           0.0052958,             0.99652,             0.99725,             0.99468,             0.86936,           0.0090082,           0.0036964,          0.00038586,            0.005149,            0.005149,            0.005149
